"","ParameterLabel","Phenotype","Subset","Iteration","LearningRate","BoostRounds","Metric","Value"
"225","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,5,0.0025,100,"AUC",0.364324324324324
"226","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,6,0.0025,100,"Sensitivity",1
"227","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,6,0.0025,100,"Specificity",0
"228","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,6,0.0025,100,"Precision",0.252525252525253
"229","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,6,0.0025,100,"F1_Score",0.403225806451613
"230","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,6,0.0025,100,"AUC",0.361621621621622
"231","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,7,0.0025,100,"Sensitivity",1
"232","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,7,0.0025,100,"Specificity",0
"233","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,7,0.0025,100,"Precision",0.252525252525253
"234","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,7,0.0025,100,"F1_Score",0.403225806451613
"235","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,7,0.0025,100,"AUC",0.326486486486486
"236","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,8,0.0025,100,"Sensitivity",1
"237","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,8,0.0025,100,"Specificity",0
"238","GBM_Model_1_eta_0.0025_ntrees_100","GPC_1",1,8,0.0025,100,"Precision",0.252525252525253
