model_number,subset,iteration,eta,nround,correlation
2,1,8,0.042,100,0.697681034097972
2,1,9,0.042,100,0.703816139465152
2,1,10,0.042,100,0.712245818399016
2,2,1,0.042,100,0.735680162140983
2,2,2,0.042,100,0.739920412273294
2,2,3,0.042,100,0.723617043570916
2,2,4,0.042,100,0.721172290116707
2,2,5,0.042,100,0.736170102610551
2,2,6,0.042,100,0.725635621146584
2,2,7,0.042,100,0.729795166244282
2,2,8,0.042,100,0.741662803515884
2,2,9,0.042,100,0.721627778672914
2,2,10,0.042,100,0.727528763302888
2,3,1,0.042,100,0.726761113763739
2,3,2,0.042,100,0.715404544930672
2,3,3,0.042,100,0.71872144571649
2,3,4,0.042,100,0.729656787564649
2,3,5,0.042,100,0.728199528732087
2,3,6,0.042,100,0.732426074235879
2,3,7,0.042,100,0.725780852140478
2,3,8,0.042,100,0.731224825477742
2,3,9,0.042,100,0.734143721010309
2,3,10,0.042,100,0.728571647464801
2,4,1,0.042,100,0.693545091416058
2,4,2,0.042,100,0.703994870662092
2,4,3,0.042,100,0.718355608271847
2,4,4,0.042,100,0.716787760700817
2,4,5,0.042,100,0.721583428972289
2,4,6,0.042,100,0.70923422628188
2,4,7,0.042,100,0.70535562606883
2,4,8,0.042,100,0.715412158613183
2,4,9,0.042,100,0.702613938996701
2,4,10,0.042,100,0.701227297069427
2,5,1,0.042,100,0.734712272751801
2,5,2,0.042,100,0.740778283950195
2,5,3,0.042,100,0.738477619437503
2,5,4,0.042,100,0.74350112715811
2,5,5,0.042,100,0.738511881008802
2,5,6,0.042,100,0.733196388563906
2,5,7,0.042,100,0.748043830828162
2,5,8,0.042,100,0.732120575225134
2,5,9,0.042,100,0.744566662025493
2,5,10,0.042,100,0.7397296895264
20,1,1,0.042,3040,0.994996668538046
20,1,2,0.042,3040,0.995225269355432
20,1,3,0.042,3040,0.995483944218736
20,1,4,0.042,3040,0.995189865731757
20,1,5,0.042,3040,0.995030739767282
20,1,6,0.042,3040,0.995238973983952
20,1,7,0.042,3040,0.99522717277606
20,1,8,0.042,3040,0.995474427115597
20,1,9,0.042,3040,0.995406094315063
20,1,10,0.042,3040,0.995197098730143
20,2,1,0.042,3040,0.994836590863257
20,2,2,0.042,3040,0.995329957489955
20,2,3,0.042,3040,0.995128765929608
20,2,4,0.042,3040,0.995065191680643
20,2,5,0.042,3040,0.99533642912009
20,2,6,0.042,3040,0.995111254459833
20,2,7,0.042,3040,0.995130098324048
20,2,8,0.042,3040,0.995517063737658
20,2,9,0.042,3040,0.994914060082804
20,2,10,0.042,3040,0.995049012605308
20,3,1,0.042,3040,0.995726820690829
20,3,2,0.042,3040,0.995744332160604
20,3,3,0.042,3040,0.99588423357674
20,3,4,0.042,3040,0.995816471802394
20,3,5,0.042,3040,0.995979404608124
20,3,6,0.042,3040,0.99576469876132
20,3,7,0.042,3040,0.995929534987679
20,3,8,0.042,3040,0.996379313282003
20,3,9,0.042,3040,0.996058967590362
20,3,10,0.042,3040,0.996074765981572
20,4,1,0.042,3040,0.995618516057114
20,4,2,0.042,3040,0.995424557495152
20,4,3,0.042,3040,0.995761653288316
20,4,4,0.042,3040,0.995587490300882
20,4,5,0.042,3040,0.995710451273431
20,4,6,0.042,3040,0.995290747025025
20,4,7,0.042,3040,0.995292079419464
20,4,8,0.042,3040,0.995567694726354
20,4,9,0.042,3040,0.995676951070384
20,4,10,0.042,3040,0.995887279049744
20,5,1,0.042,3040,0.996580314500287
20,5,2,0.042,3040,0.996549288744055
20,5,3,0.042,3040,0.996579743474098
20,5,4,0.042,3040,0.996509887937062
20,5,5,0.042,3040,0.996184593351789
20,5,6,0.042,3040,0.996392637226396
20,5,7,0.042,3040,0.996720977284673
20,5,8,0.042,3040,0.996606772047012
20,5,9,0.042,3040,0.996507032806121
20,5,10,0.042,3040,0.996641414302436
21,1,1,0.0815,3040,0.999693929963067
21,1,2,0.0815,3040,0.999593619695987
21,1,3,0.0815,3040,0.999657574629078
21,1,4,0.0815,3040,0.999636637002173
21,1,5,0.0815,3040,0.999654338814011
21,1,6,0.0815,3040,0.999654719498136
21,1,7,0.0815,3040,0.999664617285401
21,1,8,0.0815,3040,0.99968041567661
21,1,9,0.0815,3040,0.999597616879306
21,1,10,0.0815,3040,0.999647867183877
21,2,1,0.0815,3040,0.999603707825314
21,2,2,0.0815,3040,0.999653387103697
21,2,3,0.0815,3040,0.999633020502981
21,2,4,0.0815,3040,0.999619315874461
21,2,5,0.0815,3040,0.999628452293474
21,2,6,0.0815,3040,0.999646915473563
21,2,7,0.0815,3040,0.999647676841814
21,2,8,0.0815,3040,0.999642918290245
21,2,9,0.0815,3040,0.99969964022495
21,2,10,0.0815,3040,0.999555931967559
21,3,1,0.0815,3040,0.999704779460645
21,3,2,0.0815,3040,0.999683270807552
21,3,3,0.0815,3040,0.999713725537595
21,3,4,0.0815,3040,0.999702685697954
21,3,5,0.0815,3040,0.999720387509792
21,3,6,0.0815,3040,0.999738660347818
21,3,7,0.0815,3040,0.999740754110508
21,3,8,0.0815,3040,0.999759217290597
21,3,9,0.0815,3040,0.999739802400194
21,3,10,0.0815,3040,0.999730285297056
21,4,1,0.0815,3040,0.999653958129885
21,4,2,0.0815,3040,0.999624074426031
21,4,3,0.0815,3040,0.99962331305778
21,4,4,0.0815,3040,0.999586957723791
21,4,5,0.0815,3040,0.999657764971141
21,4,6,0.0815,3040,0.999635685291859
21,4,7,0.0815,3040,0.999626929556972
21,4,8,0.0815,3040,0.999602375430875
21,4,9,0.0815,3040,0.99965357744576
21,4,10,0.0815,3040,0.999634923923609
21,5,1,0.0815,3040,0.999750461555709
21,5,2,0.0815,3040,0.999721719904231
21,5,3,0.0815,3040,0.999744941635889
21,5,4,0.0815,3040,0.999727620508177
21,5,5,0.0815,3040,0.999712393143156
21,5,6,0.0815,3040,0.999724575035173
21,5,7,0.0815,3040,0.999784723127008
21,5,8,0.0815,3040,0.99975464908109
21,5,9,0.0815,3040,0.999768924735798
21,5,10,0.0815,3040,0.999728762560554
22,1,1,0.121,3040,0.999940042250228
